name,user,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Kill Bill,javier,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,153947,4
Santa Fe,javier,0.728,0.679,11,-6.764,1,0.0271,0.296,0.00733,0.11,0.953,131.715,254387,4
The Night King,javier,0.182,0.0651,10,-16.341,1,0.0462,0.942,0.886,0.111,0.038,60.812,530532,4
Water,javier,0.276,0.113,3,-20.611,1,0.0346,0.96,0.95,0.0931,0.211,132.911,192000,3
Pelota,javier,0.688,0.646,9,-11.76,0,0.053900000000000003,0.0495,0.398,0.0834,0.961,103.86,167973,4
Goin' Up The Country - Re-Recorded,javier,0.569,0.621,10,-9.879,1,0.0546,0.772,8.78e-4,0.105,0.634,149.03,191373,4
"8 Pièces brèves, Op. 84: No. 5, Improvisation in C-Sharp Minor",javier,0.363,0.0438,6,-26.46,0,0.0526,0.995,0.904,0.103,0.0469,70.071,120493,3
Polovetsian Dances from Prince Igor: Introduzione,javier,0.157,0.0553,9,-23.391,1,0.0381,0.984,0.8,0.107,0.0421,83.299,136960,4
"The Four Seasons, Concerto No.2 in G minor ""Summer"": III. Presto (Excerpt)",javier,0.572,0.529,7,-11.24,1,0.0346,0.752,0.902,0.132,0.488,130.149,143241,3
Naive,javier,0.391,0.808,8,-6.209,0,0.0892,0.0759,0,0.149,0.737,100.304,203507,4
Seaside,javier,0.629,0.422,10,-8.542,0,0.0411,0.705,0,0.124,0.325,129.456,99227,4
She Moves In Her Own Way,javier,0.41,0.803,7,-5.363,1,0.0623,0.239,0,0.103,0.814,153.315,169307,4
Procura,javier,0.805,0.757,8,-7.46,1,0.0355,0.279,8.39e-4,0.101,0.973,102.14,271031,4
rockstar (feat. 21 Savage),javier,0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-5,0.131,0.129,159.801,218147,4
Take a Walk,javier,0.566,0.755,11,-5.526,1,0.0368,0.0338,0,0.315,0.445,101.006,264493,4
La flaca,javier,0.871,0.481,7,-9.068,1,0.0383,0.52,5.54e-5,0.0809,0.664,103.063,261200,4
